stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
907,Alexis & Tetherwood SW,W ALEXIS RD & TETHERWOOD DR,41.721172,-83.595502,,,,,,0
908,Alexis & Van Wormer NE,W ALEXIS RD & VAN WORMER DR,41.721362,-83.582769,,,,,,0
909,Alexis & Van Wormer SE,W ALEXIS RD & VAN WORMER DR,41.721186,-83.583467,,,,,,0
910,Alexis & Yarmouth SW,W ALEXIS RD & YARMOUTH AVE,41.720321,-83.642956,,,,,,0
911,Alexis & Yermo NE,W ALEXIS RD & YERMO DR,41.721297,-83.597549,,,,,,0
912,Angola & Country Creek SW,ANGOLA RD & COUNTRY CREEK LN,41.623595,-83.650132,,,,,,0
913,Angola & Emerald Run SE,ANGOLA RD & UNNAMED ST,41.623819,-83.657028,,,,,,0
914,Arlington & Atlantic SW,ARLINGTON AVE & ATLANTIC AVE,41.623261,-83.589579,,,,,,0
915,Arlington & Bowsher N,2220 ARLINGTON AVE,41.623343,-83.599773,,,,,,0
916,Arlington & Byrne NE,ARLINGTON AVE & S BYRNE RD,41.618257,-83.624456,,,,,,0
917,Arlington & Byrne SE,ARLINGTON AVE & S BYRNE RD,41.618114,-83.624366,,,,,,0
919,Arlington & Research NE,ARLINGTON AVE & E MEDICAL LOOP,41.623279,-83.606321,,,,,,0
920,Arlington & Geneva NE,ARLINGTON AVE & GENEVA AVE,41.623402,-83.584629,,,,,,0
921,Arlington & Hampton NE,ARLINGTON AVE & HAMPTON AVE,41.623413,-83.582474,,,,,,0
922,Arlington & National NE,ARLINGTON AVE & NATIONAL AVE,41.623353,-83.590182,,,,,,0
923,Arlington & National SW,ARLINGTON AVE & NATIONAL AVE,41.623251,-83.591217,,,,,,0
924,Arlington & Ogden NE,ARLINGTON AVE & OGDEN AVE,41.623413,-83.583491,,,,,,0
925,Arlington & Ogden SW,ARLINGTON AVE & OGDEN AVE,41.62329,-83.583926,,,,,,0
926,Arlington & Research SW,ARLINGTON AVE & RESEARCH DR,41.622976,-83.606948,,,,,,0
927,Arlington & Spencer SW,ARLINGTON AVE & SPENCER ST,41.62331,-83.581938,,,,,,0
928,Arlington & Toledo NE,ARLINGTON AVE & TOLEDO AVE,41.623321,-83.59456,,,,,,0
929,Arlington & Toledo SE,ARLINGTON AVE & TOLEDO AVE,41.623201,-83.594836,,,,,,0
930,Arlington & Toronto SE,ARLINGTON AVE & TORONTO AVE,41.623269,-83.585614,,,,,,0
931,Arlington & West Medical Loop NW,ARLINGTON AVE & W MEDICAL LOOP,41.618998,-83.622118,,,,,,0
932,Arlington & Wright NE,ARLINGTON AVE & WRIGHT AVE,41.623382,-83.587672,,,,,,0
933,Arlington & Wright SE,ARLINGTON AVE & WRIGHT AVE,41.623258,-83.587886,,,,,,0
934,Arlington & Wylie NE,ARLINGTON AVE & WYLIE AVE,41.62335,-83.59223,,,,,,0
935,Arlington & Wylie SW,ARLINGTON AVE & WYLIE AVE,41.623213,-83.592891,,,,,,0
936,Ashland & Bancroft NE,ASHLAND AVE & W BANCROFT ST,41.663756,-83.551609,,,,,,0
937,Ashland & Bancroft SW,ASHLAND AVE & W BANCROFT ST,41.66437,-83.55224,,,,,,0
938,Ashland & Batavia NE,ASHLAND AVE & BATAVIA ST,41.666016,-83.553315,,,,,,0
939,Ashland & Batavia SW,ASHLAND AVE & BATAVIA ST,41.667064,-83.554268,,,,,,0
940,Ashland & Columbia NE,ASHLAND AVE & COLUMBIA ST,41.664775,-83.552419,,,,,,0
941,Ashland & Columbia SW,ASHLAND AVE & COLUMBIA ST,41.666131,-83.553645,,,,,,0
942,Ashland & Fulton SW,ASHLAND AVE & FULTON ST,41.662148,-83.550506,,,,,,0
943,Ashland & Irving NE,ASHLAND AVE & IRVING ST,41.66099,-83.549503,,,,,,0
944,Ashland & Prescott SE,ASHLAND AVE & PRESCOTT ST,41.66232,-83.550511,,,,,,0
945,Ashland & WoodruffNW,ASHLAND AVE & W WOODRUFF AVE,41.660662,-83.549412,,,,,,0
946,Ashland & Woodruff SE,ASHLAND AVE & W WOODRUFF AVE,41.660227,-83.548915,,,,,,0
